,Attribute,Precision,Recall,F1,Accuracy,Subset Accuracy,mAP
0,5_o_Clock_Shadow,0.33333333333333337,0.06666666666666665,0.11111111111111108,0.68,0.6800000000000004,0.02
1,Arched_Eyebrows,0.18918918918918914,0.3500000000000001,0.24561403508771928,0.5700000000000002,0.5700000000000003,0.07
2,Attractive,0.5454545454545455,0.6000000000000001,0.5714285714285715,0.55,0.5500000000000003,0.3000000000000001
3,Bags_Under_Eyes,0.0625,0.1,0.07692307692307693,0.7600000000000001,0.7600000000000005,0.01
4,Bald,,,,1.0,1.0000000000000007,0.0
5,Bangs,0.33333333333333337,0.39999999999999997,0.36363636363636365,0.8600000000000002,0.8600000000000005,0.04
6,Big_Lips,0.17241379310344823,0.25,0.2040816326530612,0.6100000000000001,0.6100000000000003,0.05
7,Big_Nose,0.12500000000000003,0.09999999999999999,0.11111111111111112,0.68,0.6800000000000004,0.02
8,Black_Hair,0.5,0.23333333333333323,0.3181818181818181,0.3999999999999999,0.4000000000000002,0.13999999999999999
9,Blond_Hair,0.0,,0.0,0.9299999999999999,0.9300000000000006,0.0
10,Blurry,0.0,0.0,0.0,0.86,0.8600000000000005,0.0
11,Brown_Hair,0.0,0.0,0.0,0.68,0.6800000000000004,0.0
12,Bushy_Eyebrows,0.4,0.19999999999999996,0.26666666666666666,0.67,0.6700000000000004,0.060000000000000005
13,Chubby,0.0,,0.0,0.96,0.9600000000000006,0.0
14,Double_Chin,0.0,,0.0,0.97,0.9700000000000006,0.0
15,Eyeglasses,0.33333333333333337,0.19999999999999998,0.25,0.88,0.8800000000000006,0.02
16,Goatee,0.0,0.0,0.0,0.88,0.8800000000000006,0.0
17,Gray_Hair,0.0,,0.0,0.98,0.9800000000000006,0.0
18,Heavy_Makeup,0.3249999999999999,0.4333333333333333,0.37142857142857133,0.56,0.5600000000000003,0.12999999999999998
19,High_Cheekbones,0.3953488372093023,0.33999999999999997,0.3655913978494623,0.41,0.4100000000000002,0.17
20,Male,0.2580645161290322,0.2666666666666666,0.2622950819672131,0.55,0.5500000000000003,0.08
21,Mouth_Slightly_Open,0.5344827586206897,0.5166666666666667,0.5254237288135594,0.43999999999999995,0.4400000000000002,0.3100000000000001
22,Mustache,0.0,0.0,0.0,0.88,0.8800000000000006,0.0
23,Narrow_Eyes,0.09090909090909093,0.04999999999999999,0.06451612903225805,0.7100000000000001,0.7100000000000004,0.01
24,No_Beard,0.7111111111111112,0.9142857142857143,0.8,0.68,0.6800000000000004,0.6400000000000003
25,Oval_Face,0.12499999999999997,0.09999999999999998,0.1111111111111111,0.52,0.5200000000000002,0.03
26,Pale_Skin,0.0,,0.0,0.96,0.9600000000000006,0.0
27,Pointy_Nose,0.4390243902439024,0.44999999999999996,0.4444444444444444,0.55,0.5500000000000003,0.18000000000000002
28,Receding_Hairline,0.0,,0.0,0.9299999999999999,0.9300000000000006,0.0
29,Rosy_Cheeks,0.19999999999999998,0.1,0.13333333333333333,0.87,0.8700000000000006,0.01
30,Sideburns,0.0,,0.0,0.97,0.9700000000000006,0.0
31,Smiling,0.5185185185185185,0.56,0.5384615384615384,0.52,0.5200000000000002,0.2800000000000001
32,Straight_Hair,0.1818181818181818,0.39999999999999997,0.25,0.7600000000000001,0.7600000000000005,0.04
33,Wavy_Hair,0.4242424242424242,0.3499999999999999,0.3835616438356164,0.55,0.5500000000000003,0.13999999999999999
34,Wearing_Earrings,0.18749999999999997,0.19999999999999996,0.1935483870967742,0.5000000000000001,0.5000000000000002,0.060000000000000005
35,Wearing_Hat,,0.0,0.0,0.9,0.9000000000000006,0.0
36,Wearing_Lipstick,0.37999999999999995,0.475,0.42222222222222217,0.48,0.48000000000000026,0.19000000000000003
37,Wearing_Necklace,0.0,,0.0,0.8500000000000002,0.8500000000000005,0.0
38,Wearing_Necktie,0.0,,0.0,0.99,0.9900000000000007,0.0
39,Young,0.8795180722891567,0.8111111111111111,0.8439306358381503,0.7300000000000001,0.7300000000000004,0.7300000000000004
